1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PBT,45. PFAS,46. FORM TYPE,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,65. POTW - TOTAL TRANSFERS,66. 6.2 - M10,67. 6.2 - M41,68. 6.2 - M62,69. 6.2 - M40 METAL,70. 6.2 - M61 METAL,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,85. OFF-SITE RELEASE TOTAL,86. 6.2 - M20,87. 6.2 - M24,88. 6.2 - M26,89. 6.2 - M28,90. 6.2 - M93,91. OFF-SITE RECYCLED TOTAL,92. 6.2 - M56,93. 6.2 - M92,94. OFF-SITE ENERGY RECOVERY T,95. 6.2 - M40 NON-METAL,96. 6.2 - M50,97. 6.2 - M54,98. 6.2 - M61 NON-METAL,99. 6.2 - M69,100. 6.2 - M95,101. OFF-SITE TREATED TOTAL,102. 6.2 - UNCLASSIFIED,103. 6.2 - TOTAL TRANSFER,104. TOTAL RELEASES,105. 8.1 - RELEASES,106. 8.1A - ON-SITE CONTAINED,107. 8.1B - ON-SITE OTHER,108. 8.1C - OFF-SITE CONTAIN,109. 8.1D - OFF-SITE OTHER R,110. 8.2 - ENERGY RECOVER ON,111. 8.3 - ENERGY RECOVER OF,112. 8.4 - RECYCLING ON SITE,113. 8.5 - RECYCLING OFF SIT,114. 8.6 - TREATMENT ON SITE,115. 8.7 - TREATMENT OFF SITE,116. PRODUCTION WSTE (8.1-8.7),117. 8.8 - ONE-TIME RELEASE,118. PROD_RATIO_OR_ ACTIVITY,119. 8.9 - PRODUCTION RATIO
2018,90245CHVRN324WE,110002899908,CHEVRON PRODUCTS CO. DIV OF CHEVRON USA INC.,324 W EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,90245,"","",33.908200,-118.408500,NAD83,CHEVRON CORP,001382555,CHEVRON CORP,NO,324,Petroleum,"","","","","","",324110,"","","","","",1318217326418,Methanol,NO,0000067561,67-56-1,4283,YES,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,72936.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72936.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72936.000000,0.000000,0.000000,72936.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41000.000000,0.000000,113936.000000,"",PRODUCTION,1.090000
2018,90748NCLLS1660W,110000476235,PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,1660 W ANAHEIM ST,WILMINGTON,LOS ANGELES,CA,90744,"","",33.774469,-118.290696,NAD83,PHILLIPS 66 CO,078378508,PHILLIPS 66 CO,NO,324,Petroleum,"","","","","","",324110,"","","","","",1318217363973,Polycyclic aromatic compounds,NO,N590,N590,649749,YES,PBT,NO,0,YES,YES,NO,R,Pounds,0.600000,4.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,"",PRODUCTION,1.000000
2018,92570CMXCN237PE,110018988880,CEMEX PERRIS PLANT,237 PERRIS BLVD,PERRIS,RIVERSIDE,CA,92570,"","",33.784054,-117.226116,NAD83,CEMEX INC,189840945,CEMEX INC,NO,327,Nonmetallic Mineral Product,"","","","","","",327320,"","","","","",1318216767929,Lead  And Lead Compounds,YES,N420,N420,650002,YES,PBT,YES,1,NO,YES,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",PRODUCTION,1.430000
2018,94539RDRTC44100,110017211809,WESTERN DIGITAL TECHNOLOGIES - FREMONT,44100 OSGOOD RD,FREMONT,ALAMEDA,CA,94539,"","",37.512480,-121.941550,NAD83,WESTERN DIGITAL CORP,051983567,WESTERN DIGITAL CORP,NO,334,Computers and Electronic Products,"","","","","","",334419,"","","","","",1318216770848,Nitric acid,NO,0007697372,7697-37-2,152686,NO,TRI,NO,0,NO,NO,NO,R,Pounds,250.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21320.000000,0.000000,21820.000000,"",PRODUCTION,1.000000
2018,92703DHRFR4002W,110000497999,STREMICKS HERITAGE FOODS,4002 WESTMINSTER AVE,SANTA ANA,ORANGE,CA,92703,"","",33.759700,-117.923650,NAD83,DAIRY FARMERS OF AMERICA INC,029855640,DAIRY FARMERS OF AMERICA INC,NO,311,Food,"","","","","","",311520,"","","","","",1318217430382,Nitric acid,NO,0007697372,7697-37-2,152686,NO,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.500000,4.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.500000,0.000000,4.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76261.000000,4.500000,76265.500000,"",PRODUCTION,1.000000
2018,94533SHLND2461C,110000482843,UNIVAR SOLUTIONS FAIRFIELD CA,2461 CROCKER CIR,FAIRFIELD,SOLANO,CA,94533,"","",38.274830,-121.983630,NAD83,UNIVAR SOLUTIONS USA INC,028968691,UNIVAR SOLUTIONS USA INC,NO,4246,Chemical Wholesalers,"","","","","","",424690,"","","","","",1318216949747,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970,YES,TRI,NO,0,NO,NO,NO,R,Pounds,410.000000,385.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,795.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,363.000000,0.000000,363.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,365.000000,795.000000,0.000000,0.000000,795.000000,0.000000,0.000000,0.000000,363.000000,0.000000,1.000000,0.000000,1.000000,1160.000000,"",PRODUCTION,0.850000
2018,94553TSCCRAVONR,110021341332,TESORO REFINING & MARKETING CO LLC,150 SOLANO WAY,MARTINEZ,CONTRA COSTA,CA,94553,"","",38.025100,-122.063900,NAD83,MARATHON PETROLEUM CORP,968393996,MARATHON PETROLEUM CORP,NO,324,Petroleum,"","","","","","",324110,"","","","","",1318217211388,Dioxin and dioxin-like compounds,NO,N150,N150,755371,YES,Dioxin,NO,0,YES,YES,NO,R,Grams,0.000000,0.307000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307000,0.000000,0.000000,0.307000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307000,"",PRODUCTION,1.010000
2018,92408DNLRD1390S,110000479465,THERMAL SOLUTIONS MANUFACTURING INC.,1390 S TIPPECANOE AVE SUITE B,SAN BERNARDINO,SAN BERNARDINO,CA,92408,"","",34.076030,-117.259770,NAD83,THERMAL SOLUTIONS MANUFACTURING INC.,078415541,THERMAL SOLUTIONS MANUFACTURING INC,NO,336,Transportation Equipment,"","","","","","",336390,"","","","","",1318217240288,Copper,NO,0007440508,7440-50-8,150086,NO,TRI,YES,1,NO,NO,NO,R,Pounds,0.030000,0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19500.000000,0.000000,0.000000,0.000000,19500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19500.000000,0.190000,0.000000,0.000000,0.190000,0.000000,0.000000,0.000000,0.000000,0.000000,19500.000000,0.000000,0.000000,19500.190000,"",PRODUCTION,1.040000
2018,93041PCFND705IN,110002713724,PAC FOUNDRIES,705 INDUSTRIAL AVE,PORT HUENEME,VENTURA,CA,93041,"","",34.143780,-119.189530,NAD83,CONSOLIDATED PRECISION PRODUCTS,NA,CONSOLIDATED PRECISION PRODUCTS CORP,NO,331,Primary Metals,"","","","","","",331512,"","","","","",1318217610498,Copper,NO,0007440508,7440-50-8,150086,NO,TRI,YES,1,NO,NO,NO,R,Pounds,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,250.000000,0.118000,0.000000,0.118000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.118000,0.000000,20200.000000,0.000000,0.000000,0.000000,20200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20200.118000,250.118000,0.000000,0.000000,250.000000,0.000000,0.118000,0.000000,0.000000,0.000000,20200.000000,0.000000,0.000000,20450.118000,"",PRODUCTION,0.970000
2018,91739TMCXX12459,110000477788,TAMCO,12459 ARROW RT STE B,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91739,"","",34.097870,-117.529362,NAD83,COMMERCIAL METALS CO,007825845,COMMERCIAL METALS CO,NO,331,Primary Metals,"","","","","","",331110,"","","","","",1318218479778,Manganese compounds,NO,N450,N450,650010,YES,TRI,YES,1,NO,NO,NO,R,Pounds,7.851000,39.251000,37.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.592000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25663.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25663.000000,0.000000,147944.000000,1492.000000,0.000000,0.000000,149436.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,175099.000000,25747.592000,0.000000,0.000000,84.592000,25663.000000,0.000000,0.000000,0.000000,0.000000,149436.000000,0.000000,0.000000,175183.592000,"",PRODUCTION,1.050000
