"YearStart","LocationAbbr","LocationDesc","Topic","Question","Stratification1","Lon","Lat"
2018,"CT","Connecticut","Older Adults","Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years","Male",-72.6498409519996,41.5626610200005
2011,"OK","Oklahoma","Cardiovascular Disease","Mortality from diseases of the heart","White, non-Hispanic",-97.5210702139997,35.4720313560005
2010,"MA","Massachusetts","Cancer","Cancer of the lung and bronchus, incidence","Male",-72.0826906749996,42.2768704700005
2015,"NY","New York","Chronic Obstructive Pulmonary Disease","Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease","Black, non-Hispanic",-75.5439704269996,42.8270010320005
2019,"IL","Illinois","Cardiovascular Disease","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease","Female",-88.9977101779997,40.4850102830005
2013,"MN","Minnesota","Asthma","Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma","Multiracial, non-Hispanic",-94.7942005029997,46.3556487360005
2021,"FL","Florida","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Other, non-Hispanic",-81.9289605389997,28.9320403770005
2018,"ME","Maine","Asthma","Emergency department visit rate for asthma","White, non-Hispanic",-68.9850313359996,45.2542288940005
2019,"OK","Oklahoma","Tobacco","Amount of tobacco product excise tax","Overall",-97.5210702139997,35.4720313560005
2013,"MN","Minnesota","Nutrition, Physical Activity, and Weight Status","Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years","Other, non-Hispanic",-94.7942005029997,46.3556487360005
2013,"NV","Nevada","Asthma","Hospitalizations for asthma","Overall",-117.071840564,39.4932403900005
2014,"AZ","Arizona","Chronic Obstructive Pulmonary Disease","Prevalence of chronic obstructive pulmonary disease among adults >= 18","White, non-Hispanic",-111.763811277,34.8659702800005
2011,"CA","California","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years","Female",-120.999999538,37.6386401230005
2015,"RI","Rhode Island","Alcohol","Amount of alcohol excise tax by beverage type (distilled spirits)","Overall",-71.5224703139996,41.7082801930005
2013,"MN","Minnesota","Tobacco","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke","Black, non-Hispanic",-94.7942005029997,46.3556487360005
2016,"OK","Oklahoma","Nutrition, Physical Activity, and Weight Status","Obesity among adults aged >= 18 years","Overall",-97.5210702139997,35.4720313560005
2013,"NH","New Hampshire","Cancer","Invasive cancer of the female breast, incidence","White, non-Hispanic",-71.5003609199997,43.6559501130005
2014,"NH","New Hampshire","Chronic Kidney Disease","Prevalence of chronic kidney disease among adults aged >= 18 years","Other, non-Hispanic",-71.5003609199997,43.6559501130005
2010,"NJ","New Jersey","Nutrition, Physical Activity, and Weight Status","Infants breastfed at 6 months","Overall",-74.2736912879997,40.1305700480005
2015,"PA","Pennsylvania","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","Multiracial, non-Hispanic",-77.8607002939996,40.7937301520005
2016,"MI","Michigan","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years","Female",-84.7143902699997,44.6613195430005
